6C,73,70,7B,7E,90,77,71,88,74,77,8A,70,6E,7B,88
7E,7A,78,7F,8A,82,8D,97,83,8F,79,98,78,80,71,81
73,74,7A,6F,80,83,87,67,94,73,8F,73,83,7B,98,81
70,8C,76,79,84,79,84,6D,6B,6B,6E,8A,79,88,7F,6E
79,89,72,7F,7F,58,7B,7E,85,99,65,7E,8E,90,7E,83
89,8C,9D,87,74,8B,89,92,79,75,7F,7E,A2,7A,98,A2
79,78,6C,69,9C,7B,97,65,6F,78,7A,73,81,80,95,86
87,73,7E,96,66,76,6B,73,77,73,82,8B,7B,8C,7C,7B
76,8E,6F,87,77,74,71,8E,88,93,6C,82,78,86,9B,6F
89,7D,80,80,95,8A,61,6B,64,7C,70,71,6F,91,7D,83
7B,80,6B,79,80,7B,7D,6C,83,69,9A,7F,83,65,A1,83
9E,58,73,8E,64,97,9B,94,6A,83,60,75,7F,70,7C,7F
8A,86,96,96,83,86,68,65,82,80,99,72,83,83,6A,6E
83,75,8B,6E,8F,92,6B,7B,76,8D,92,95,86,77,74,8A
8F,73,92,8B,62,79,7C,7B,64,7E,6D,84,89,81,7D,94
8E,91,81,8B,84,8F,84,79,79,7B,9D,8F,7E,75,6E,77
93,A8,5F,6A,69,7A,89,87,82,72,8E,86,7E,7C,97,8D
8A,81,7A,72,7C,80,65,6B,7F,82,70,7E,76,5F,86,77
